ensemblid	annotcategory
ENSG00000108641	Intracellular or membrane-bound
ENSG00000108784	Intracellular or membrane-bound
ENSG00000108823	Intracellular or membrane-bound
ENSG00000108826	Intracellular or membrane-bound
ENSG00000109205	Intracellular or membrane-bound
ENSG00000109323	Intracellular or membrane-bound
ENSG00000109472	Intracellular or membrane-bound
ENSG00000109743	Intracellular or membrane-bound
ENSG00000109861	Intracellular or membrane-bound
ENSG00000110013	Intracellular or membrane-bound
ENSG00000110046	Intracellular or membrane-bound
ENSG00000110080	Intracellular or membrane-bound
ENSG00000110717	Intracellular or membrane-bound
ENSG00000110811	Intracellular or membrane-bound
ENSG00000110852	Intracellular or membrane-bound
ENSG00000110887	Intracellular or membrane-bound
ENSG00000111305	Intracellular or membrane-bound
ENSG00000111644	Intracellular or membrane-bound
ENSG00000111707	Intracellular or membrane-bound
ENSG00000111802	Intracellular or membrane-bound
ENSG00000111817	Intracellular or membrane-bound
ENSG00000112041	Intracellular or membrane-bound
ENSG00000112139	Intracellular or membrane-bound
ENSG00000112299	Intracellular or membrane-bound
ENSG00000112651	Intracellular or membrane-bound
ENSG00000112796	Intracellular or membrane-bound
ENSG00000112855	Intracellular or membrane-bound
ENSG00000113273	Intracellular or membrane-bound
ENSG00000113318	Intracellular or membrane-bound
ENSG00000113441	Intracellular or membrane-bound
ENSG00000113532	Intracellular or membrane-bound
ENSG00000113569	Intracellular or membrane-bound
ENSG00000113594	Intracellular or membrane-bound
ENSG00000113805	Intracellular or membrane-bound
ENSG00000114054	Intracellular or membrane-bound
ENSG00000114948	Intracellular or membrane-bound
ENSG00000115041	Intracellular or membrane-bound
ENSG00000115159	Intracellular or membrane-bound
ENSG00000115226	Intracellular or membrane-bound
ENSG00000115419	Intracellular or membrane-bound
ENSG00000115526	Intracellular or membrane-bound
ENSG00000115604	Intracellular or membrane-bound
ENSG00000115652	Intracellular or membrane-bound
ENSG00000116005	Intracellular or membrane-bound
ENSG00000116406	Intracellular or membrane-bound
ENSG00000116459	Intracellular or membrane-bound
ENSG00000116748	Intracellular or membrane-bound
ENSG00000116863	Intracellular or membrane-bound
ENSG00000117069	Intracellular or membrane-bound
ENSG00000117091	Intracellular or membrane-bound
ENSG00000117118	Intracellular or membrane-bound
ENSG00000117151	Intracellular or membrane-bound
ENSG00000117154	Intracellular or membrane-bound
ENSG00000117228	Intracellular or membrane-bound
ENSG00000117281	Intracellular or membrane-bound
ENSG00000117305	Intracellular or membrane-bound
ENSG00000117385	Intracellular or membrane-bound
ENSG00000117862	Intracellular or membrane-bound
ENSG00000117899	Intracellular or membrane-bound
ENSG00000117906	Intracellular or membrane-bound
ENSG00000118017	Intracellular or membrane-bound
ENSG00000118094	Intracellular or membrane-bound
ENSG00000118276	Intracellular or membrane-bound
ENSG00000118729	Intracellular or membrane-bound
ENSG00000118849	Intracellular or membrane-bound
ENSG00000119280	Intracellular or membrane-bound
ENSG00000119514	Intracellular or membrane-bound
ENSG00000119632	Intracellular or membrane-bound
ENSG00000119977	Intracellular or membrane-bound
ENSG00000120160	Intracellular or membrane-bound
ENSG00000120333	Intracellular or membrane-bound
ENSG00000120370	Intracellular or membrane-bound
ENSG00000120509	Intracellular or membrane-bound
ENSG00000120658	Intracellular or membrane-bound
ENSG00000120725	Intracellular or membrane-bound
ENSG00000120733	Intracellular or membrane-bound
ENSG00000121289	Intracellular or membrane-bound
ENSG00000121316	Intracellular or membrane-bound
ENSG00000121578	Intracellular or membrane-bound
ENSG00000121671	Intracellular or membrane-bound
ENSG00000121716	Intracellular or membrane-bound
ENSG00000122121	Intracellular or membrane-bound
ENSG00000122378	Intracellular or membrane-bound
ENSG00000122566	Intracellular or membrane-bound
ENSG00000122642	Intracellular or membrane-bound
ENSG00000122643	Intracellular or membrane-bound
ENSG00000122779	Intracellular or membrane-bound
ENSG00000122862	Intracellular or membrane-bound
ENSG00000122884	Intracellular or membrane-bound
ENSG00000123131	Intracellular or membrane-bound
ENSG00000123384	Intracellular or membrane-bound
ENSG00000123472	Intracellular or membrane-bound
ENSG00000123570	Intracellular or membrane-bound
ENSG00000123612	Intracellular or membrane-bound
ENSG00000123989	Intracellular or membrane-bound
ENSG00000124155	Intracellular or membrane-bound
ENSG00000124225	Intracellular or membrane-bound
ENSG00000124302	Intracellular or membrane-bound
ENSG00000124334	Intracellular or membrane-bound
ENSG00000124370	Intracellular or membrane-bound
ENSG00000124469	Intracellular or membrane-bound
ENSG00000124731	Intracellular or membrane-bound
ENSG00000125144	Intracellular or membrane-bound
ENSG00000125166	Intracellular or membrane-bound
ENSG00000125675	Intracellular or membrane-bound
ENSG00000125848	Intracellular or membrane-bound
ENSG00000125861	Intracellular or membrane-bound
ENSG00000125967	Intracellular or membrane-bound
ENSG00000125968	Intracellular or membrane-bound
ENSG00000126091	Intracellular or membrane-bound
ENSG00000126217	Intracellular or membrane-bound
ENSG00000126246	Intracellular or membrane-bound
ENSG00000126259	Intracellular or membrane-bound
ENSG00000126500	Intracellular or membrane-bound
ENSG00000126861	Intracellular or membrane-bound
ENSG00000126882	Intracellular or membrane-bound
ENSG00000127415	Intracellular or membrane-bound
ENSG00000127554	Intracellular or membrane-bound
ENSG00000128218	Intracellular or membrane-bound
ENSG00000128228	Intracellular or membrane-bound
ENSG00000128242	Intracellular or membrane-bound
ENSG00000128268	Intracellular or membrane-bound
ENSG00000128284	Intracellular or membrane-bound
ENSG00000128294	Intracellular or membrane-bound
ENSG00000128590	Intracellular or membrane-bound
ENSG00000128595	Intracellular or membrane-bound
ENSG00000128654	Intracellular or membrane-bound
ENSG00000129103	Intracellular or membrane-bound
ENSG00000129636	Intracellular or membrane-bound
ENSG00000129673	Intracellular or membrane-bound
ENSG00000129933	Intracellular or membrane-bound
ENSG00000130175	Intracellular or membrane-bound
ENSG00000130309	Intracellular or membrane-bound
ENSG00000130414	Intracellular or membrane-bound
ENSG00000130528	Intracellular or membrane-bound
ENSG00000130649	Intracellular or membrane-bound
ENSG00000130711	Intracellular or membrane-bound
ENSG00000130726	Intracellular or membrane-bound
ENSG00000131019	Intracellular or membrane-bound
ENSG00000131238	Intracellular or membrane-bound
ENSG00000131386	Intracellular or membrane-bound
ENSG00000131480	Intracellular or membrane-bound
ENSG00000131507	Intracellular or membrane-bound
ENSG00000131650	Intracellular or membrane-bound
ENSG00000131724	Intracellular or membrane-bound
ENSG00000131828	Intracellular or membrane-bound
ENSG00000132122	Intracellular or membrane-bound
ENSG00000132185	Intracellular or membrane-bound
ENSG00000132313	Intracellular or membrane-bound
ENSG00000132535	Intracellular or membrane-bound
ENSG00000132581	Intracellular or membrane-bound
ENSG00000133216	Intracellular or membrane-bound
ENSG00000133401	Intracellular or membrane-bound
ENSG00000133794	Intracellular or membrane-bound
ENSG00000134121	Intracellular or membrane-bound
ENSG00000134216	Intracellular or membrane-bound
ENSG00000134376	Intracellular or membrane-bound
ENSG00000134398	Intracellular or membrane-bound
ENSG00000134508	Intracellular or membrane-bound
ENSG00000134575	Intracellular or membrane-bound
ENSG00000134716	Intracellular or membrane-bound
ENSG00000134775	Intracellular or membrane-bound
ENSG00000134901	Intracellular or membrane-bound
ENSG00000134940	Intracellular or membrane-bound
ENSG00000135047	Intracellular or membrane-bound
ENSG00000135052	Intracellular or membrane-bound
ENSG00000135226	Intracellular or membrane-bound
ENSG00000135245	Intracellular or membrane-bound
ENSG00000135272	Intracellular or membrane-bound
ENSG00000135318	Intracellular or membrane-bound
ENSG00000135333	Intracellular or membrane-bound
ENSG00000135373	Intracellular or membrane-bound
ENSG00000135404	Intracellular or membrane-bound
ENSG00000135437	Intracellular or membrane-bound
ENSG00000135454	Intracellular or membrane-bound
ENSG00000135506	Intracellular or membrane-bound
ENSG00000135535	Intracellular or membrane-bound
ENSG00000135537	Intracellular or membrane-bound
ENSG00000135677	Intracellular or membrane-bound
ENSG00000135702	Intracellular or membrane-bound
ENSG00000136114	Intracellular or membrane-bound
ENSG00000136152	Intracellular or membrane-bound
ENSG00000136156	Intracellular or membrane-bound
ENSG00000136235	Intracellular or membrane-bound
ENSG00000136237	Intracellular or membrane-bound
ENSG00000136521	Intracellular or membrane-bound
ENSG00000136720	Intracellular or membrane-bound
ENSG00000136810	Intracellular or membrane-bound
ENSG00000136816	Intracellular or membrane-bound
ENSG00000136827	Intracellular or membrane-bound
ENSG00000136877	Intracellular or membrane-bound
ENSG00000136943	Intracellular or membrane-bound
ENSG00000136960	Intracellular or membrane-bound
ENSG00000137133	Intracellular or membrane-bound
ENSG00000137161	Intracellular or membrane-bound
ENSG00000137343	Intracellular or membrane-bound
ENSG00000137507	Intracellular or membrane-bound
ENSG00000137509	Intracellular or membrane-bound
ENSG00000137563	Intracellular or membrane-bound
ENSG00000137573	Intracellular or membrane-bound
ENSG00000137575	Intracellular or membrane-bound
ENSG00000137815	Intracellular or membrane-bound
ENSG00000137845	Intracellular or membrane-bound
ENSG00000137872	Intracellular or membrane-bound
ENSG00000137975	Intracellular or membrane-bound
ENSG00000137976	Intracellular or membrane-bound
ENSG00000138109	Intracellular or membrane-bound
ENSG00000138115	Intracellular or membrane-bound
ENSG00000138604	Intracellular or membrane-bound
ENSG00000138744	Intracellular or membrane-bound
ENSG00000138759	Intracellular or membrane-bound
ENSG00000139044	Intracellular or membrane-bound
ENSG00000139055	Intracellular or membrane-bound
ENSG00000139200	Intracellular or membrane-bound
ENSG00000139278	Intracellular or membrane-bound
ENSG00000139352	Intracellular or membrane-bound
ENSG00000139567	Intracellular or membrane-bound
ENSG00000139620	Intracellular or membrane-bound
ENSG00000139629	Intracellular or membrane-bound
ENSG00000139631	Intracellular or membrane-bound
ENSG00000139637	Intracellular or membrane-bound
ENSG00000139988	Intracellular or membrane-bound
ENSG00000140455	Intracellular or membrane-bound
ENSG00000140557	Intracellular or membrane-bound
ENSG00000140564	Intracellular or membrane-bound
ENSG00000140691	Intracellular or membrane-bound
ENSG00000140835	Intracellular or membrane-bound
ENSG00000140905	Intracellular or membrane-bound
ENSG00000140945	Intracellular or membrane-bound
ENSG00000141012	Intracellular or membrane-bound
ENSG00000141096	Intracellular or membrane-bound
ENSG00000141337	Intracellular or membrane-bound
ENSG00000141429	Intracellular or membrane-bound
ENSG00000141505	Intracellular or membrane-bound
ENSG00000141655	Intracellular or membrane-bound
ENSG00000141696	Intracellular or membrane-bound
ENSG00000141756	Intracellular or membrane-bound
ENSG00000141858	Intracellular or membrane-bound
ENSG00000142453	Intracellular or membrane-bound
ENSG00000142512	Intracellular or membrane-bound
ENSG00000142552	Intracellular or membrane-bound
ENSG00000142606	Intracellular or membrane-bound
ENSG00000142700	Intracellular or membrane-bound
ENSG00000142892	Intracellular or membrane-bound
ENSG00000142949	Intracellular or membrane-bound
ENSG00000143149	Intracellular or membrane-bound
ENSG00000143314	Intracellular or membrane-bound
ENSG00000143318	Intracellular or membrane-bound
ENSG00000143387	Intracellular or membrane-bound
ENSG00000143434	Intracellular or membrane-bound
ENSG00000143502	Intracellular or membrane-bound
ENSG00000143624	Intracellular or membrane-bound
ENSG00000143641	Intracellular or membrane-bound
ENSG00000143870	Intracellular or membrane-bound
ENSG00000144410	Intracellular or membrane-bound
ENSG00000144455	Intracellular or membrane-bound
ENSG00000144580	Intracellular or membrane-bound
ENSG00000144619	Intracellular or membrane-bound
ENSG00000144647	Intracellular or membrane-bound
ENSG00000144668	Intracellular or membrane-bound
ENSG00000144827	Intracellular or membrane-bound
ENSG00000144857	Intracellular or membrane-bound
ENSG00000144868	Intracellular or membrane-bound
ENSG00000145014	Intracellular or membrane-bound
ENSG00000145103	Intracellular or membrane-bound
ENSG00000145244	Intracellular or membrane-bound
ENSG00000145335	Intracellular or membrane-bound
ENSG00000145526	Intracellular or membrane-bound
ENSG00000145623	Intracellular or membrane-bound
ENSG00000145794	Intracellular or membrane-bound
ENSG00000146205	Intracellular or membrane-bound
ENSG00000147050	Intracellular or membrane-bound
ENSG00000147119	Intracellular or membrane-bound
ENSG00000147223	Intracellular or membrane-bound
ENSG00000147255	Intracellular or membrane-bound
ENSG00000147257	Intracellular or membrane-bound
ENSG00000147408	Intracellular or membrane-bound
ENSG00000147475	Intracellular or membrane-bound
ENSG00000147485	Intracellular or membrane-bound
ENSG00000147654	Intracellular or membrane-bound
ENSG00000148090	Intracellular or membrane-bound
ENSG00000148204	Intracellular or membrane-bound
ENSG00000148288	Intracellular or membrane-bound
ENSG00000148339	Intracellular or membrane-bound
ENSG00000148450	Intracellular or membrane-bound
ENSG00000148488	Intracellular or membrane-bound
ENSG00000148600	Intracellular or membrane-bound
ENSG00000148672	Intracellular or membrane-bound
ENSG00000149177	Intracellular or membrane-bound
ENSG00000149257	Intracellular or membrane-bound
ENSG00000149294	Intracellular or membrane-bound
ENSG00000149380	Intracellular or membrane-bound
ENSG00000149428	Intracellular or membrane-bound
ENSG00000149541	Intracellular or membrane-bound
ENSG00000149571	Intracellular or membrane-bound
ENSG00000149582	Intracellular or membrane-bound
ENSG00000149972	Intracellular or membrane-bound
ENSG00000150275	Intracellular or membrane-bound
ENSG00000150527	Intracellular or membrane-bound
ENSG00000150551	Intracellular or membrane-bound
ENSG00000150556	Intracellular or membrane-bound
ENSG00000150938	Intracellular or membrane-bound
ENSG00000151092	Intracellular or membrane-bound
ENSG00000151176	Intracellular or membrane-bound
ENSG00000151233	Intracellular or membrane-bound
ENSG00000151413	Intracellular or membrane-bound
ENSG00000151490	Intracellular or membrane-bound
ENSG00000151651	Intracellular or membrane-bound
ENSG00000151694	Intracellular or membrane-bound
ENSG00000152578	Intracellular or membrane-bound
ENSG00000152952	Intracellular or membrane-bound
ENSG00000152990	Intracellular or membrane-bound
ENSG00000153563	Intracellular or membrane-bound
ENSG00000153707	Intracellular or membrane-bound
ENSG00000153802	Intracellular or membrane-bound
ENSG00000153936	Intracellular or membrane-bound
ENSG00000154079	Intracellular or membrane-bound
ENSG00000154080	Intracellular or membrane-bound
ENSG00000154252	Intracellular or membrane-bound
ENSG00000154305	Intracellular or membrane-bound
ENSG00000154639	Intracellular or membrane-bound
ENSG00000154814	Intracellular or membrane-bound
ENSG00000155008	Intracellular or membrane-bound
ENSG00000155304	Intracellular or membrane-bound
ENSG00000155629	Intracellular or membrane-bound
ENSG00000155660	Intracellular or membrane-bound
ENSG00000155893	Intracellular or membrane-bound
ENSG00000155903	Intracellular or membrane-bound
ENSG00000156096	Intracellular or membrane-bound
ENSG00000156219	Intracellular or membrane-bound
ENSG00000156928	Intracellular or membrane-bound
ENSG00000156966	Intracellular or membrane-bound
ENSG00000157036	Intracellular or membrane-bound
ENSG00000157350	Intracellular or membrane-bound
ENSG00000157617	Intracellular or membrane-bound
ENSG00000157782	Intracellular or membrane-bound
ENSG00000158008	Intracellular or membrane-bound
ENSG00000158055	Intracellular or membrane-bound
ENSG00000158470	Intracellular or membrane-bound
ENSG00000158488	Intracellular or membrane-bound
ENSG00000158578	Intracellular or membrane-bound
ENSG00000158604	Intracellular or membrane-bound
ENSG00000158710	Intracellular or membrane-bound
ENSG00000158786	Intracellular or membrane-bound
ENSG00000158813	Intracellular or membrane-bound
ENSG00000159322	Intracellular or membrane-bound
ENSG00000159496	Intracellular or membrane-bound
ENSG00000160097	Intracellular or membrane-bound
ENSG00000160221	Intracellular or membrane-bound
ENSG00000160392	Intracellular or membrane-bound
ENSG00000160408	Intracellular or membrane-bound
ENSG00000160439	Intracellular or membrane-bound
ENSG00000160932	Intracellular or membrane-bound
ENSG00000161013	Intracellular or membrane-bound
ENSG00000161381	Intracellular or membrane-bound
ENSG00000161653	Intracellular or membrane-bound
ENSG00000161999	Intracellular or membrane-bound
ENSG00000162368	Intracellular or membrane-bound
ENSG00000162430	Intracellular or membrane-bound
ENSG00000162433	Intracellular or membrane-bound
ENSG00000162551	Intracellular or membrane-bound
ENSG00000162631	Intracellular or membrane-bound
ENSG00000162694	Intracellular or membrane-bound
ENSG00000162706	Intracellular or membrane-bound
ENSG00000162711	Intracellular or membrane-bound
ENSG00000162746	Intracellular or membrane-bound
ENSG00000162836	Intracellular or membrane-bound
ENSG00000162885	Intracellular or membrane-bound
ENSG00000162896	Intracellular or membrane-bound
ENSG00000162910	Intracellular or membrane-bound
ENSG00000163131	Intracellular or membrane-bound
ENSG00000163283	Intracellular or membrane-bound
ENSG00000163295	Intracellular or membrane-bound
ENSG00000163297	Intracellular or membrane-bound
ENSG00000163378	Intracellular or membrane-bound
ENSG00000163389	Intracellular or membrane-bound
ENSG00000163541	Intracellular or membrane-bound
ENSG00000163600	Intracellular or membrane-bound
ENSG00000163606	Intracellular or membrane-bound
ENSG00000163660	Intracellular or membrane-bound
ENSG00000163701	Intracellular or membrane-bound
ENSG00000163702	Intracellular or membrane-bound
ENSG00000163703	Intracellular or membrane-bound
ENSG00000163704	Intracellular or membrane-bound
ENSG00000163719	Intracellular or membrane-bound
ENSG00000163814	Intracellular or membrane-bound
ENSG00000163956	Intracellular or membrane-bound
ENSG00000163975	Intracellular or membrane-bound
